time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,PivHigh_Dist,PivLow_Dist,Divergence,Volume,Volume MA, rsi, rsi2 ,ADX,ATR,ATR2,ATR3,SqueezeState,MACD,Signal
2025-07-12T23:00:00+09:00,117470.40 ,117688.90 ,117290.10 ,117353.10 ,118093.6961,117255.7439,110699.468,115706.1083,117674.72,118167.1,,,,1,7,0.69 ,0.21 ,0,4458,2099,50.05 ,62.26 ,22.15 ,0.34 ,0.51 ,0.95 ,1,256.07 ,401.38 
2025-07-13T00:00:00+09:00,117353.10 ,117429.80 ,116888.00 ,117076.70 ,118077.212,117172.228,110741.479,115806.8183,117624.72,,,,,-1,1,0.93 ,0.02 ,0,3327,2139,45.23 ,60.92 ,21.73 ,0.38 ,0.49 ,0.92 ,1,191.98 ,367.95 
2025-07-13T01:00:00+09:00,117076.70 ,117355.00 ,117016.50 ,117154.20 ,118098.3924,117104.6776,110783.6435,115907.5033,117601.535,,,,,-1,1,0.86 ,0.04 ,0,1284,2135,46.78 ,61.16 ,21.21 ,0.35 ,0.48 ,0.90 ,1,145.77 ,332.75 
2025-07-13T02:00:00+09:00,117154.20 ,117510.00 ,117146.50 ,117442.50 ,118095.8097,117092.4503,110826.1395,116013.8933,117594.13,,,,,-1,1,0.62 ,0.29 ,0,797,2106,52.19 ,62.04 ,20.45 ,0.34 ,0.47 ,0.88 ,1,130.90 ,297.56 
2025-07-13T03:00:00+09:00,117442.50 ,117468.00 ,117333.20 ,117456.20 ,118092.7679,117082.2121,110869.1905,116118.16,117587.49,,,,,-1,1,0.61 ,0.30 ,0,451,1982,52.44 ,62.08 ,19.75 ,0.26 ,0.46 ,0.86 ,1,118.85 ,260.80 
2025-07-13T04:00:00+09:00,117456.20 ,117597.10 ,117402.20 ,117518.10 ,118093.1089,117083.6911,110912.5405,116223.6867,117588.4,,,,,-1,1,0.55 ,0.35 ,0,788,1990,53.61 ,62.28 ,19.03 ,0.23 ,0.45 ,0.84 ,-1,112.99 ,224.60 
2025-07-13T05:00:00+09:00,117518.10 ,117521.50 ,116972.70 ,116972.70 ,118133.6303,117003.8497,110954.0335,116319.8983,117568.74,,116888,,,-1,1,1.02 ,0.07 ,0,620,1933,43.47 ,59.56 ,18.55 ,0.31 ,0.44 ,0.82 ,-1,63.61 ,186.61 
2025-07-13T06:00:00+09:00,116972.70 ,117514.90 ,116957.10 ,117438.50 ,118127.572,116992.878,111001.566,116427.1767,117560.225,,,,,-1,1,0.62 ,0.47 ,0,714,1916,51.85 ,61.04 ,18.44 ,0.36 ,0.44 ,0.83 ,-1,61.35 ,154.17 
2025-07-13T07:00:00+09:00,117438.50 ,117514.90 ,117271.80 ,117338.80 ,118124.4736,116973.5064,111049.3875,116531.9933,117548.99,,,,,-1,1,0.71 ,0.38 ,0,312,1898,50.13 ,60.56 ,18.39 ,0.31 ,0.45 ,0.83 ,-1,50.93 ,125.83 
2025-07-13T08:00:00+09:00,117338.80 ,117422.00 ,117168.70 ,117372.60 ,118104.7612,116957.1088,111098.5365,116638.4733,117530.935,,,,,-1,1,0.68 ,0.41 ,0,464,1894,50.73 ,60.67 ,18.46 ,0.28 ,0.45 ,0.83 ,-1,44.88 ,102.36 
