time,open,high,low,close,bb1 Upper,bb1 Lower,SMA 200,SMA 60,SMA 20,IT_High,IT_Low,LT_High,LT_Low,Market_Struct,BOS_Count,Volume,Volume MA,  rsi,rsi2 ,ADX,ATR,SqueezeState,MACD,Signal
2025-10-10T19:00:00+09:00,121242.2,121481.6,121156.7,121438.9,122040.7455,120290.8845,122192.1975,121933.3583,121165.815,NaN,NaN,NaN,NaN,-1,2,899.8781285,2940.496657,49.4983247,48.34058067,22.50232162,0.405182602,1,-151.4833787,-215.3814482
2025-10-10T20:00:00+09:00,121438.9,121600,121354.9,121493.3,122071.256,120299.814,122206.1865,121936.8283,121185.535,NaN,NaN,NaN,NaN,-1,2,1428.766826,2751.062266,50.05854343,48.49467818,21.37893026,0.337247291,1,-126.6065557,-201.4006174
2025-10-10T21:00:00+09:00,121493.3,121633.7,121369.1,121537.6,121884.9775,120663.5725,122220.809,121931.24,121274.275,NaN,120811.2,NaN,NaN,-1,2,1544.613364,2288.78246,50.53971282,48.62208195,20.15565118,0.297319712,1,-102.1394545,-183.0605799
2025-10-10T22:00:00+09:00,121537.6,122455,121306,121602,121912.1401,120704.7699,122237.17,121926.1067,121308.455,NaN,NaN,NaN,119600,-1,2,6905.802303,2264.764224,51.27466393,48.80999301,19.35291495,0.513070093,1,-76.66876892,-162.96961
2025-10-10T23:00:00+09:00,121602,122010.1,120413.6,120437.5,121945.0585,120655.5215,122246.345,121900.1517,121300.29,NaN,NaN,NaN,NaN,-1,3,11886.24696,2728.69949,39.76749764,45.72311064,18.3718293,0.787215219,1,-148.7339723,-155.0701304
2025-10-11T00:00:00+09:00,120437.5,120581.9,118435.5,118971.9,122400.0398,120007.6102,122248.9845,121860.8033,121203.825,NaN,NaN,NaN,NaN,-1,3,17126.43978,3475.766312,30.49241095,42.28713261,17.91837624,1.132649715,-1,-320.4143,-167.8174121
2025-10-11T01:00:00+09:00,118971.9,119394.7,118163.9,118164,122845.4859,119272.7941,122246.605,121799.1,121059.14,NaN,NaN,NaN,NaN,-1,3,9072.510774,3872.494443,26.78396902,40.57146825,18.05433553,1.107463574,-1,-515.7180975,-200.0905668
2025-10-11T02:00:00+09:00,118164,118376.7,117537.2,117592.6,123197.5792,118539.3208,122240.4345,121736.5833,120868.45,NaN,NaN,NaN,NaN,-1,3,7518.81358,4139.481311,24.51322834,39.41683694,18.79197106,0.979865092,-1,-708.4385304,-258.4106672
2025-10-11T03:00:00+09:00,117592.6,117816.3,117170.9,117179.9,123445.6015,117847.2085,122233.501,121660.4367,120646.405,122455,NaN,NaN,NaN,-1,3,4218.115957,4289.954765,22.99674419,38.60674398,20.20272352,0.839136427,-1,-884.2788862,-337.1646605
2025-10-11T04:00:00+09:00,117179.9,117290,115891,116607.3,123666.2197,117130.0703,122222.9565,121577.9867,120398.145,NaN,NaN,NaN,NaN,-1,3,14578.8879,4925.913399,21.05089372,37.51473383,22.34039814,0.962089123,-1,-1057.645787,-437.8493726
